iter	RMSE
0	15232349.02
1	14885295.42
2	14547687.72
3	14219335.02
4	13900017.87
5	13589467.75
6	13287537.33
7	12993964.9
8	12806735.54
9	12526616.56
10	12254625.92
11	11990274.69
12	11846576.62
13	11594025.01
14	11348733.3
15	11159985.67
16	10927143.41
17	10701185.67
18	10482033.53
19	10269204.78
20	10062801.18
21	9862639.869
22	9668545.357
23	9519356.817
24	9373499.675
25	9194420.539
26	9020879.668
27	8852744.447
28	8689896.689
29	8565001.506
30	8411208.775
31	8313565.531
32	8167965.106
33	8026875.044
34	7890669.35
35	7758850.21
36	7631562.735
37	7584989.394
38	7521366.574
39	7399213.353
40	7321498.325
41	7258856.152
42	7142368.117
43	7029985.205
44	6921349.867
45	6816514.697
46	6715335.891
47	6650372.346
48	6551785.566
49	6456762.136
50	6450583.179
51	6359028.367
52	6293807.639
53	6204479.105
54	6140953.578
55	6079937.705
56	5992060.276
57	5932630.373
58	5910480.092
59	5853194.11
60	5767420.44
61	5711628.708
62	5628266.503
63	5573927.336
64	5539372.029
65	5459484.641
66	5406218.142
67	5355097.72
68	5306030.126
69	5226917.36
70	5179143.378
71	5133297.103
72	5055572.562
73	5020219.78
74	4959878.916
75	4916152.639
76	4856902.444
77	4814474.429
78	4741730.004
79	4671617.815
80	4629703.916
81	4561196.018
82	4495284.653
83	4431757.093
84	4389711.455
85	4345189.752
86	4318502.84
87	4278856.047
88	4217623.096
89	4158756.041
90	4119497.052
91	4081946.853
92	4045917.385
93	3999625.56
94	3964676.216
95	3907470.634
96	3873473.865
97	3840842.958
98	3809589.244
99	3752672.287
