iter	Passed	Remaining
0	61	6068
1	64	3149
2	66	2160
3	69	1659
4	71	1356
5	73	1153
6	76	1011
7	78	903
8	80	818
9	83	749
10	85	693
11	88	646
12	90	605
13	92	569
14	94	537
15	97	512
16	99	487
17	102	465
18	104	446
19	107	429
20	109	412
21	111	396
22	114	382
23	116	368
24	119	357
25	121	345
26	123	334
27	126	324
28	128	315
29	131	305
30	133	296
31	135	288
32	137	279
33	140	272
34	142	264
35	144	257
36	147	250
37	149	244
38	152	238
39	155	232
40	157	227
41	160	221
42	162	215
43	165	210
44	168	205
45	170	200
46	172	194
47	175	189
48	177	184
49	179	179
50	182	175
51	184	170
52	186	165
53	188	160
54	191	156
55	193	151
56	195	147
57	197	143
58	200	139
59	202	135
60	204	130
61	207	126
62	209	122
63	211	118
64	213	115
65	216	111
66	218	107
67	221	104
68	223	100
69	225	96
70	227	93
71	230	89
72	232	85
73	234	82
74	237	79
75	239	75
76	241	72
77	244	68
78	246	65
79	248	62
80	250	58
81	253	55
82	255	52
83	257	49
84	260	45
85	262	42
86	265	39
87	267	36
88	269	33
89	272	30
90	275	27
91	278	24
92	280	21
93	282	18
94	284	14
95	287	11
96	289	8
97	292	5
98	295	2
99	298	0
